date,visits,pageviews
2026-05-05,0,10
2026-05-07,10,70
2026-05-08,10,100
2026-05-09,30,150
2026-05-10,10,110
2026-05-11,0,80
2026-05-12,0,30
2026-05-13,0,20
2026-05-14,20,60
2026-05-15,10,10
2026-05-16,0,10
2026-05-17,0,70
2026-05-18,0,10
2026-05-19,0,20
2026-05-20,30,70
2026-05-21,30,30
2026-05-22,10,20
2026-05-23,10,30
2026-05-24,0,40
2026-05-25,20,40
2026-05-26,0,40
2026-05-27,40,60
2026-05-28,0,30
2026-05-29,10,20
2026-05-30,40,60
2026-05-31,30,70
2026-06-01,20,40
2026-06-02,20,70
2026-06-03,0,10
